Id,Type,Zoning Class,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Nbhd,Location Condition,Bldg Type,House Style,OvQual,Overall Cond,Built,Year Remod Add,Roof Style,Roof Material,Exterior Primary,Masonry/Veneer,Masonry/Veneer Area,Exterior Qual,Exterior Cond,Foundation,Basement Height,Basement Cond,Basement Exposure,Basement Finish,Basement Finished Area,Basement Unfinished Area,Basement Area,Heating Qual,CentralAir,Electrical,1st Floor Area,2nd Floor Area,Living Area Above Grade,Basement Full Baths,Basement Half baths,Full Baths Above Grade,Half Baths Above Grade,Bedrooms Above Grade,Kitchens Above Grade,Kitchen Qual,Total Rooms Above Grade,Functionality,Fireplaces,Fireplce Qual,Garage Type,Garage Yr Built,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck Area,Open Porch Area,Enclosed Porch Area,3 Season Porch Area,Screen Porch Area,Pool Area,Pool Qual,Fence,Sale Type,Sale Condition,Sale Price
301,2 FAMILY CONVERSION,Resid Low Density,90,15750,NA,Regular,Level,Corner lot,Gentle,Crawford,Normal,2-family Conversion,1 story,5,5,1953,1953,Hip,Composite Shingle,Metal Siding,Brick Face,56,Average,Average,Cinder Block,"Typical (80-89"")",Average,Min Exposure,Below Avg Living Quarters,841,324,1165,Average,Y,Standard Circuit Breakers & Romex,1336,0,1336,1,0,1,0,2,1,Average,5,Typical Functionality,2,Good,Attached to home,1953,Unfinished,1,375,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,157000
302,2-STORY 1946 & NEWER,Resid Low Density,66,16226,NA,Irregular,Level,Inside lot,Gentle,College Creek,Normal,1-family Detached,2 story,8,5,1998,1999,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,281,747,1028,Excellent,Y,Standard Circuit Breakers & Romex,1210,1242,2452,0,0,2,1,4,1,Good,9,Typical Functionality,1,Average,Built-In (Garage with Room),1998,Finished,2,683,Average,Average,Paved ,208,50,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,267000
303,1-STORY 1946 & NEWER,Resid Low Density,118,13704,NA,Slightly irregular,Level,Corner lot,Gentle,College Creek,Normal,1-family Detached,1 story,7,5,2001,2002,Gable,Composite Shingle,Vinyl Siding,Brick Face,150,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,1541,1541,Excellent,Y,Standard Circuit Breakers & Romex,1541,0,1541,0,0,2,0,3,1,Good,6,Typical Functionality,1,Average,Attached to home,2001,Rough Finished,3,843,Average,Average,Paved ,468,81,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,205000
304,1-STORY 1946 & NEWER,Resid Low Density,70,9800,NA,Regular,Level,Corner lot,Gentle,College Creek,Normal,1-family Detached,1 story,5,7,1972,1972,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Poured Contrete,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,894,0,894,Average,Y,Standard Circuit Breakers & Romex,894,0,894,1,0,1,0,3,1,Average,5,Typical Functionality,0,No Fireplace,Attached to home,1975,Unfinished,2,552,Average,Average,Paved ,256,0,0,0,0,0,No Pool,Good Wood,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",149900
305,2-1/2 STORY ALL AGES,Resid Med Density,87,18386,NA,Regular,Level,Inside lot,Gentle,Old Town,Normal,1-family Detached,2.5 story: 3rd level fin,7,9,1880,2002,Gable,Composite Shingle,Cement Board,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,1470,1470,Excellent,Y,Standard Circuit Breakers & Romex,1675,1818,3493,0,0,3,0,3,1,Good,10,Typical Functionality,1,Excellent,Attached to home,2003,Unfinished,3,870,Average,Average,Paved ,302,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,295000
306,1-STORY 1946 & NEWER,Resid Low Density,80,10386,NA,Regular,Level,Inside lot,Gentle,College Creek,Normal,1-family Detached,1 story,8,5,2004,2005,Gable,Composite Shingle,Cement Board,Stone,246,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,1464,536,2000,Excellent,Y,Standard Circuit Breakers & Romex,2000,0,2000,1,0,2,0,3,1,Good,8,Typical Functionality,0,No Fireplace,Attached to home,2004,Finished,3,888,Average,Average,Paved ,168,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,305900
307,2-STORY 1946 & NEWER,Resid Low Density,116,13474,NA,Regular,Level,Inside lot,Gentle,Sawyer West,Adjacent Feeder St,1-family Detached,2 story,7,5,1990,1991,Gable,Composite Shingle,Hard Board,Brick Face,246,Good,Average,Cinder Block,"Good (90-99"")",Average,No Exposure,Avg Living Quarters,700,0,700,Good,Y,Standard Circuit Breakers & Romex,1122,1121,2243,1,0,2,1,4,1,Good,8,Typical Functionality,1,Average,Attached to home,1990,Rough Finished,3,746,Average,Average,Paved ,127,44,224,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,225000
308,1-1/2 STORY ALL AGES,Resid Med Density,NA,7920,Grvl,Slightly irregular,Level,Inside lot,Gentle,Iowa DOT and Rail Road,Adjacent Arterial St,1-family Detached,1.5 story: 2nd level fin,6,7,1920,1950,Gable,Composite Shingle,Metal Siding,None,0,Average,Fair,Cinder Block,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,319,319,Average,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1035,371,1406,0,0,1,0,3,1,Fair,6,Typical Functionality,0,No Fireplace,No Garage,NA,No Garage,0,0,No Garage,No Garage,Dirt/Gravel,0,144,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,89500
309,1-STORY 1945 & OLDER,Resid Low Density,NA,12342,NA,Slightly irregular,Level,Inside lot,Gentle,Edwards,Normal,1-family Detached,1 story,4,5,1940,1950,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Below Avg Living Quarters,262,599,861,Excellent,Y,Standard Circuit Breakers & Romex,861,0,861,0,0,1,0,1,1,Average,4,Typical Functionality,0,No Fireplace,Detached from home,1961,Unfinished,2,539,Average,Average,Paved ,158,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,82500
310,1-STORY 1946 & NEWER,Resid Low Density,90,12378,NA,Slightly irregular,Level,Inside lot,Gentle,Northridge Heights,Normal,1-family Detached,1 story,9,5,2003,2004,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Good Exposure,Good Living Quarters,1274,622,1896,Excellent,Y,Standard Circuit Breakers & Romex,1944,0,1944,1,0,2,0,3,1,Excellent,8,Typical Functionality,3,Excellent,Attached to home,2003,Finished,3,708,Average,Average,Paved ,208,175,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,360000
311,2-STORY 1946 & NEWER,Resid Low Density,NA,7685,NA,Slightly irregular,Level,Inside lot,Gentle,Gilbert,Normal,1-family Detached,2 story,6,5,1993,1994,Gable,Composite Shingle,Hard Board,Brick Face,112,Average,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Avg Living Quarters,518,179,697,Good,Y,Standard Circuit Breakers & Romex,697,804,1501,0,0,2,1,3,1,Good,6,Typical Functionality,1,Average,Attached to home,1993,Finished,2,420,Average,Average,Paved ,190,63,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,165600
312,1-STORY 1946 & NEWER,Resid Low Density,50,8000,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,6,6,1948,2002,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Good,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,680,292,972,Excellent,Y,Standard Circuit Breakers & Romex,972,0,972,1,0,1,0,2,1,Average,5,Typical Functionality,1,Good,Detached from home,1948,Unfinished,1,240,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,132000
313,2 FAMILY CONVERSION,Resid Med Density,65,7800,NA,Regular,Level,Inside lot,Gentle,Old Town,Adjacent Arterial St,2-family Conversion,1.5 story: 2nd level fin,5,7,1939,1950,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Cinder Block,"Good (90-99"")",Average,Min Exposure,Avg Rec Room,507,286,793,Average,Y,Standard Circuit Breakers & Romex,793,325,1118,1,0,1,0,3,1,Average,5,Typical Functionality,1,Good,Detached from home,1939,Unfinished,2,410,Average,Average,Paved ,0,0,0,0,271,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,119900
314,1-STORY 1946 & NEWER,Resid Low Density,150,215245,NA,Irregular,Depression,Inside lot,Severe,Timberland,Normal,1-family Detached,1 story,7,5,1965,1965,Hip,Composite Shingle,Brick Face,None,0,Average,Average,Cinder Block,"Good (90-99"")",Average,Good Exposure,Avg Living Quarters,1236,80,2136,Average,Y,Standard Circuit Breakers & Romex,2036,0,2036,2,0,2,0,3,1,Average,8,Typical Functionality,2,Good,Attached to home,1965,Rough Finished,2,513,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,375000
315,2-STORY 1945 & OLDER,Resid Med Density,60,9600,Grvl,Regular,Level,Inside lot,Gentle,Old Town,Normal,1-family Detached,2 story,7,7,1925,1990,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Good,No Exposure,Low Quality,16,712,728,Excellent,Y,Standard Circuit Breakers & Romex,832,809,1641,0,1,1,1,3,1,Excellent,6,Typical Functionality,1,Good,Detached from home,1925,Unfinished,2,546,Fair,Average,Paved ,0,0,234,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,178000
316,2-STORY 1946 & NEWER,Resid Low Density,71,7795,NA,Slightly irregular,Level,Inside lot,Gentle,Gilbert,Normal,1-family Detached,2 story,7,5,2004,2005,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,425,291,716,Excellent,Y,Standard Circuit Breakers & Romex,716,716,1432,1,0,2,1,3,1,Good,6,Typical Functionality,1,Good,Attached to home,2004,Finished,2,432,Average,Average,Paved ,100,51,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,188500
317,2-STORY 1946 & NEWER,Resid Low Density,94,13005,NA,Slightly irregular,Level,Corner lot,Gentle,Northwest Ames,Normal,1-family Detached,2 story,7,7,1980,1980,Gable,Composite Shingle,Cement Board,Brick Face,278,Good,Average,Cinder Block,"Good (90-99"")",Average,No Exposure,Good Living Quarters,692,153,845,Average,Y,Standard Circuit Breakers & Romex,1153,1200,2353,1,0,2,1,4,1,Excellent,10,Typical Functionality,1,Average,Attached to home,1983,Rough Finished,2,484,Average,Average,Paved ,288,195,0,0,0,0,No Pool,Good Privacy,Warranty Deed - Conventional,Normal Sale,260000
318,2-STORY 1946 & NEWER,Floating Village Resid,75,9000,NA,Regular,Level,Inside lot,Gentle,Somerset,Normal,1-family Detached,2 story,8,5,2006,2006,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,Avg Exposure,Unfinshed,0,1088,1088,Excellent,Y,Standard Circuit Breakers & Romex,1088,871,1959,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good,Attached to home,2006,Rough Finished,3,1025,Average,Average,Paved ,208,46,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,270000
319,2-STORY 1946 & NEWER,Resid Low Density,90,9900,NA,Regular,Depression,Inside lot,Moderate,Northridge,Normal,1-family Detached,2 story,7,5,1993,1993,Gable,Composite Shingle,Hard Board,Brick Face,256,Good,Average,Poured Contrete,"Good (90-99"")",Average,Good Exposure,Good Living Quarters,987,360,1347,Excellent,Y,Standard Circuit Breakers & Romex,1372,1274,2646,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average,Attached to home,1993,Rough Finished,3,656,Average,Average,Paved ,340,60,144,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,260000
320,SPLIT OR MULTI-LEVEL,Resid Low Density,NA,14115,NA,Regular,Level,Inside lot,Gentle,Northwest Ames,Normal,1-family Detached,Split Level,7,5,1980,1980,Gable,Composite Shingle,Plywood,Brick Face,225,Average,Average,Cinder Block,"Good (90-99"")",Average,Avg Exposure,Good Living Quarters,1036,336,1372,Average,Y,Standard Circuit Breakers & Romex,1472,0,1472,1,0,2,0,3,1,Average,6,Typical Functionality,2,Average,Attached to home,1980,Unfinished,2,588,Average,Average,Paved ,233,48,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,187500
321,2-STORY 1946 & NEWER,Resid Low Density,111,16259,NA,Regular,Level,Corner lot,Gentle,Northridge Heights,Normal,1-family Detached,2 story,9,5,2006,2006,Gable,Composite Shingle,Vinyl Siding,Stone,370,Average,Average,Poured Contrete,"Excellent (100+"")",Good,Avg Exposure,Unfinshed,0,1249,1249,Excellent,Y,Standard Circuit Breakers & Romex,1249,1347,2596,0,0,3,1,4,1,Good,9,Typical Functionality,0,No Fireplace,Attached to home,2006,Rough Finished,3,840,Average,Average,Paved ,240,154,0,0,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),342643
322,2-STORY 1946 & NEWER,Resid Low Density,99,12099,NA,Slightly irregular,Level,Inside lot,Gentle,Northridge Heights,Normal,1-family Detached,2 story,8,5,2004,2004,Gable,Composite Shingle,Vinyl Siding,Brick Face,388,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Avg Exposure,Good Living Quarters,970,166,1136,Excellent,Y,Standard Circuit Breakers & Romex,1136,1332,2468,1,0,2,1,4,1,Good,10,Typical Functionality,1,Good,Built-In (Garage with Room),2004,Finished,3,872,Average,Average,Paved ,184,154,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,354000
323,2-STORY 1946 & NEWER,Resid Low Density,86,10380,NA,Slightly irregular,Level,Inside lot,Gentle,Sawyer West,Normal,1-family Detached,2 story,7,5,1986,1987,Gable,Composite Shingle,Plywood,Brick Face,172,Good,Average,Cinder Block,"Typical (80-89"")",Average,Good Exposure,Low Quality,28,0,1502,Excellent,Y,Standard Circuit Breakers & Romex,1553,1177,2730,1,0,2,1,4,1,Good,8,Typical Functionality,1,Average,Attached to home,1987,Finished,2,576,Average,Average,Paved ,201,96,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,301000
324,1-STORY 1946 & NEWER,Resid Med Density,49,5820,NA,Regular,Level,Inside lot,Gentle,Old Town,Normal,1-family Detached,1 story,3,8,1955,2005,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Good,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,256,906,1162,Excellent,Y,Standard Circuit Breakers & Romex,1163,0,1163,1,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1955,Unfinished,1,220,Fair,Average,Paved ,142,98,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,126175
325,SPLIT OR MULTI-LEVEL,Resid Low Density,96,11275,NA,Regular,Level,Corner lot,Gentle,North Ames,Near Pos Feature,1-family Detached,Split Level,7,7,1967,2007,Mansard,Wood Shakes,Wood Siding,Brick Face,300,Good,Good,Cinder Block,"Good (90-99"")",Average,No Exposure,Unfinshed,0,710,710,Excellent,Y,Standard Circuit Breakers & Romex,1898,1080,2978,0,0,2,1,5,1,Good,11,Typical Functionality,1,Good,Built-In (Garage with Room),1961,Finished,2,564,Average,Average,Paved ,240,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,242000
327,1 STORY PUD,Resid Low Density,32,10846,NA,Slightly irregular,Level,Cul-de-sac,Gentle,Veenker,Normal,Townhouse End Unit,1 story,8,5,1993,1993,Gable,Composite Shingle,Brick Face,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,Good Exposure,Good Living Quarters,1619,100,1719,Excellent,Y,Standard Circuit Breakers & Romex,1719,0,1719,2,0,1,1,1,1,Good,6,Typical Functionality,2,Good,Attached to home,1993,Finished,2,473,Average,Average,Paved ,122,30,0,0,0,0,No Pool,No Fence,Contract 15% Down payment regular terms,Normal Sale,324000
328,1-STORY 1946 & NEWER,Resid Low Density,80,11600,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,6,5,1960,1960,Hip,Composite Shingle,Wood Siding,Brick Face,175,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,565,818,1383,Average,Y,Standard Circuit Breakers & Romex,1383,0,1383,0,0,1,1,3,1,Average,7,Typical Functionality,0,No Fireplace,Attached to home,1960,Rough Finished,1,292,Average,Average,Paved ,0,45,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,145250
329,2-1/2 STORY ALL AGES,Resid Low Density,NA,11888,Pave,Slightly irregular,Banked,Inside lot,Gentle,Brookside,Near Pos Feature,1-family Detached,2.5 story: 3rd level unfin,6,6,1916,1994,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,844,844,Good,N,Fuse Box over 60 AMP and all Romex wiring (Average),1445,689,2134,0,0,2,0,5,1,Good,10,Typical Functionality,0,No Fireplace,Detached from home,1930,Unfinished,2,441,Average,Average,Paved ,0,60,268,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,214500
330,2-STORY 1945 & OLDER,Resid Med Density,60,6402,NA,Regular,Level,Corner lot,Gentle,Iowa DOT and Rail Road,Normal,1-family Detached,2 story,5,5,1920,1950,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Poured Contrete,"Typical (80-89"")",Average,Min Exposure,Unfinshed,0,596,596,Average,N,Standard Circuit Breakers & Romex,596,596,1192,0,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Detached from home,1920,Unfinished,1,189,Fair,Fair,Dirt/Gravel,0,0,137,0,0,0,No Pool,Good Wood,Warranty Deed - Conventional,Normal Sale,78000
331,DUPLEX,Resid Low Density,NA,10624,NA,Slightly irregular,Level,Inside lot,Gentle,North Ames,Normal,Duplex,1 story,5,4,1964,1964,Gable,Composite Shingle,Hard Board,Brick Face,84,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Good Living Quarters,40,1424,1728,Average,Y,Standard Circuit Breakers & Romex,1728,0,1728,0,1,2,0,6,2,Average,10,Typical Functionality,0,No Fireplace,Detached from home,2002,Unfinished,1,352,Average,Average,Paved ,155,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,119000
332,1-STORY 1946 & NEWER,Resid Low Density,70,8176,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,6,1958,1992,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,846,210,1056,Fair,Y,Standard Circuit Breakers & Romex,1056,0,1056,1,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1958,Rough Finished,1,308,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,139000
333,1-STORY 1946 & NEWER,Resid Low Density,85,10655,NA,Slightly irregular,Level,Inside lot,Gentle,Northridge Heights,Normal,1-family Detached,1 story,8,5,2003,2004,Gable,Composite Shingle,Vinyl Siding,Brick Face,296,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,1124,1603,3206,Excellent,Y,Standard Circuit Breakers & Romex,1629,0,1629,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2003,Rough Finished,3,880,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,284000
334,1-STORY PUD,Resid Med Density,59,8198,NA,Regular,Level,Frontage on 3 sides,Gentle,Northridge Heights,Normal,Townhouse End Unit,1 story,7,5,2004,2004,Gable,Composite Shingle,Vinyl Siding,Stone,146,Good,Average,Poured Contrete,"Good (90-99"")",Average,Avg Exposure,Good Living Quarters,720,638,1358,Excellent,Y,Standard Circuit Breakers & Romex,1358,0,1358,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good,Attached to home,2004,Rough Finished,2,484,Average,Average,Paved ,192,30,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,207000
335,2-STORY 1946 & NEWER,Resid Low Density,59,9042,NA,Slightly irregular,Level,Inside lot,Gentle,Gilbert,Normal,1-family Detached,2 story,6,5,1998,1998,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Poured Contrete,"Good (90-99"")",Average,Good Exposure,Good Living Quarters,828,115,943,Good,Y,Standard Circuit Breakers & Romex,943,695,1638,1,0,2,1,3,1,Average,7,Typical Functionality,2,Average,Attached to home,1998,Finished,2,472,Average,Average,Paved ,100,38,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,192000
336,2 FAMILY CONVERSION,Resid Low Density,NA,164660,NA,Slightly irregular,Hillside,Corner lot,Severe,Timberland,Normal,2-family Conversion,1.5 story: 2nd level fin,5,6,1965,1965,Gable,Composite Shingle,Plywood,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,Good Exposure,Avg Living Quarters,1249,103,1499,Excellent,Y,Standard Circuit Breakers & Romex,1619,167,1786,2,0,2,0,3,1,Average,7,Typical Functionality,2,Good,Attached to home,1965,Finished,2,529,Average,Average,Paved ,670,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,228950
337,1-STORY 1946 & NEWER,Resid Low Density,86,14157,NA,Slightly irregular,Hillside,Corner lot,Gentle,Stone Brook,Normal,1-family Detached,1 story,9,5,2005,2006,Hip,Composite Shingle,Vinyl Siding,Stone,200,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Good Exposure,Good Living Quarters,1249,673,1922,Excellent,Y,Standard Circuit Breakers & Romex,1922,0,1922,1,0,2,0,3,1,Good,8,Typical Functionality,1,Good,Attached to home,2005,Finished,3,676,Average,Average,Paved ,178,51,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,377426
338,1-STORY 1946 & NEWER,Resid Low Density,70,9135,NA,Regular,Level,Inside lot,Gentle,College Creek,Normal,1-family Detached,1 story,7,5,2002,2003,Gable,Composite Shingle,Vinyl Siding,Brick Face,113,Good,Average,Poured Contrete,"Good (90-99"")",Average,Avg Exposure,Good Living Quarters,810,726,1536,Excellent,Y,Standard Circuit Breakers & Romex,1536,0,1536,1,0,2,0,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to home,2002,Rough Finished,2,532,Average,Average,Paved ,192,74,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,214000
339,1-STORY 1946 & NEWER,Resid Low Density,91,14145,NA,Regular,Level,Corner lot,Gentle,Northwest Ames,Normal,1-family Detached,1 story,7,7,1984,1998,Gable,Composite Shingle,Wood Siding,None,0,Good,Average,Cinder Block,"Good (90-99"")",Average,Min Exposure,Avg Living Quarters,213,995,1208,Excellent,Y,Standard Circuit Breakers & Romex,1621,0,1621,1,0,2,0,3,1,Good,8,Typical Functionality,0,No Fireplace,Attached to home,1984,Rough Finished,2,440,Average,Average,Paved ,108,45,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,202500
340,1-STORY 1946 & NEWER,Resid Low Density,66,12400,NA,Slightly irregular,Level,Inside lot,Gentle,North Ames,Adjacent Feeder St,1-family Detached,1 story,6,7,1958,1998,Hip,Composite Shingle,Wood Siding,Brick Face,176,Average,Average,Cinder Block,"Typical (80-89"")",Fair,No Exposure,Avg Rec Room,585,630,1215,Average,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1215,0,1215,0,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1958,Unfinished,1,297,Average,Average,Paved ,0,0,0,0,234,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,155000
341,2-STORY 1946 & NEWER,Resid Low Density,85,14191,NA,Regular,Level,Inside lot,Gentle,Timberland,Normal,1-family Detached,2 story,8,5,2002,2002,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,967,967,Excellent,Y,Standard Circuit Breakers & Romex,993,915,1908,0,0,2,1,4,1,Good,9,Typical Functionality,0,No Fireplace,Attached to home,2002,Finished,2,431,Average,Average,Paved ,135,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,202900
342,1-STORY 1946 & NEWER,Resid High Density,60,8400,NA,Regular,Level,Inside lot,Gentle,Sawyer West,Adjacent Feeder St,1-family Detached,1 story,4,4,1950,1950,Gable,Composite Shingle,Wood Siding,None,0,Fair,Fair,Cinder Block,"Typical (80-89"")",Fair,No Exposure,Unfinshed,0,721,721,Good,Y,Standard Circuit Breakers & Romex,841,0,841,0,0,1,0,2,1,Average,4,Typical Functionality,0,No Fireplace,Car Port,1950,Unfinished,1,294,Average,Average,Dirt/Gravel,250,0,24,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,82000
344,1-STORY PUD,Resid Low Density,63,8849,NA,Slightly irregular,Level,Inside lot,Gentle,Northridge Heights,Normal,Townhouse End Unit,1 story,9,5,2005,2005,Hip,Composite Shingle,Metal Siding,Brick Face,616,Excellent,Average,Poured Contrete,"Excellent (100+"")",Average,No Exposure,Good Living Quarters,28,1656,1684,Excellent,Y,Standard Circuit Breakers & Romex,1684,0,1684,0,0,2,0,2,1,Excellent,6,Typical Functionality,1,Excellent,Attached to home,2005,Rough Finished,2,564,Average,Average,Paved ,495,72,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,266000
345,2-STORY PUD,Resid Med Density,36,2592,NA,Regular,Level,Inside lot,Gentle,Meadow Village,Normal,Townhouse End Unit,2 story,5,3,1976,1976,Gable,Composite Shingle,Cement Board,None,0,Average,Average,Cinder Block,"Good (90-99"")",Average,No Exposure,Avg Rec Room,129,175,536,Average,Y,Standard Circuit Breakers & Romex,536,576,1112,0,0,1,1,3,1,Average,4,Typical Functionality,0,No Fireplace,Attached to home,1976,Unfinished,1,336,Average,Average,Paved ,182,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,85000
346,1-1/2 STORY ALL AGES,Resid Low Density,65,6435,NA,Regular,Level,Inside lot,Gentle,Brookside,Adjacent Railroad,1-family Detached,1.5 story: 2nd level fin,6,5,1939,1950,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,972,972,Good,Y,Standard Circuit Breakers & Romex,972,605,1577,0,0,1,0,3,1,Fair,6,Typical Functionality,1,Good,Detached from home,1939,Unfinished,1,312,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,140200
