Id,Dwelling Type,Lot Frontage,Lot Area,Alley,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,Basement Area,1st Floor Area,2nd Floor Area,Living Area Above Grade,Basement Full Baths,Basement Half baths,Full Baths Above Grade,Half Baths Above Grade,Bedrooms Above Grade,Kitchens Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Yr Built,Garage Finish,Garage Cars,Wood Deck Area,Open Porch Area,Enclosed Porch Area,3 Season Porch Area,Screen Porch Area,Pool Area,Sale Condition,Sale Price
381,1-1/2 STORY ALL AGES,50.0,5000,Pave,Level,South & West of Iowa State,Normal,5,6,1924,0.0,218,808,1026,1026,665,1691,0,0,2,0,3,1,Good,6,1,1924.0,Unfinished,1,0,0,242,0,0,0,Normal Sale,127000
382,1-STORY 1946 & NEWER,60.0,7200,Pave,Level,Somerset,Normal,7,5,2006,0.0,0,1293,1293,1301,0,1301,1,0,2,0,2,1,Good,5,1,2006.0,Rough Finished,2,216,121,0,0,0,0,Home was not completed when last assessed (associated with New Homes),187750
383,2-STORY 1946 & NEWER,79.0,9245,,Level,College Creek,Normal,7,5,2006,0.0,0,939,939,939,858,1797,0,0,2,1,3,1,Good,8,0,2006.0,Rough Finished,2,144,53,0,0,0,0,Normal Sale,213500
385,2-STORY 1946 & NEWER,,53107,,Depression,Clear Creek,Adjacent Feeder St,6,5,1992,0.0,985,595,1580,1079,874,1953,1,0,2,1,3,1,Good,9,2,1992.0,Finished,2,216,231,0,0,0,0,Normal Sale,240000
386,1-STORY PUD,43.0,3182,,Level,Bloomington Heights,Normal,8,5,2004,16.0,24,1232,1256,1269,0,1269,0,0,2,0,2,1,Good,6,1,2004.0,Finished,2,146,20,0,0,144,0,Normal Sale,192000
388,SPLIT OR MULTI-LEVEL,72.0,7200,,Level,Edwards,Normal,6,6,1976,255.0,631,410,1041,1125,0,1125,1,0,1,0,3,1,Average,6,1,1977.0,Unfinished,1,296,0,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",125000
389,1-STORY 1946 & NEWER,93.0,9382,,Level,College Creek,Normal,7,5,1999,125.0,0,1468,1468,1479,0,1479,0,0,2,0,3,1,Good,6,0,1999.0,Rough Finished,2,120,25,0,0,0,0,Normal Sale,191000
390,2-STORY 1946 & NEWER,96.0,12474,,Level,Northridge Heights,Normal,10,5,2007,272.0,1280,402,1682,1742,590,2332,1,0,2,1,3,1,Excellent,9,1,2008.0,Finished,3,196,134,0,0,0,0,Home was not completed when last assessed (associated with New Homes),426000
391,1-1/2 STORY ALL AGES,50.0,8405,Grvl,Level,Edwards,Normal,5,8,1900,0.0,241,229,861,961,406,1367,1,0,1,0,4,1,Average,7,0,1978.0,Unfinished,1,0,130,112,0,0,0,Normal Sale,119000
392,2-STORY 1946 & NEWER,71.0,12209,,Level,Mitchell,Normal,6,5,2001,0.0,690,114,804,804,1157,1961,1,0,2,1,3,1,Good,7,1,2001.0,Finished,2,125,192,0,0,0,0,Normal Sale,215000
393,1-STORY 1946 & NEWER,,8339,,Level,North Ames,Normal,5,7,1959,0.0,0,0,0,882,0,882,0,0,1,0,3,1,Average,5,0,1959.0,Rough Finished,1,0,0,0,0,0,0,Normal Sale,106500
394,1-STORY 1945 & OLDER,,7446,,Level,Brookside,Adjacent Feeder St,4,5,1941,0.0,266,522,788,788,0,788,0,0,1,0,2,1,Average,4,2,,No Garage,0,0,0,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",100000
395,1-1/2 STORY ALL AGES,60.0,10134,,Level,Old Town,Normal,5,6,1940,0.0,0,735,735,735,299,1034,0,0,1,0,2,1,Average,5,0,1940.0,Unfinished,1,0,39,0,0,0,0,Normal Sale,109000
396,1-STORY 1946 & NEWER,68.0,9571,,Level,Edwards,Normal,5,6,1956,0.0,739,405,1144,1144,0,1144,1,0,1,0,3,1,Average,6,0,1956.0,Unfinished,1,44,0,0,0,0,0,Normal Sale,129000
397,1-STORY 1946 & NEWER,60.0,7200,,Depression,College Creek,Normal,5,5,1972,0.0,777,117,894,894,0,894,0,0,1,0,2,1,Average,6,0,1985.0,Rough Finished,2,215,0,0,0,0,0,Normal Sale,123000
398,2-STORY 1946 & NEWER,69.0,7590,,Level,North Ames,Near Pos Feature,5,5,1962,288.0,540,324,864,876,936,1812,0,0,2,0,4,1,Average,8,1,1962.0,Rough Finished,1,0,168,0,0,0,0,Normal Sale,169500
400,2-STORY 1946 & NEWER,65.0,8125,,Level,Somerset,Normal,7,5,2006,100.0,812,280,1092,1112,438,1550,1,0,2,0,2,1,Good,7,0,2007.0,Finished,2,0,168,0,0,0,0,Normal Sale,241000
401,1-STORY PUD,38.0,14963,,Level,Veenker,Normal,8,5,1996,0.0,786,474,1260,1288,0,1288,1,0,1,1,1,1,Excellent,4,2,1996.0,Finished,2,120,30,0,0,224,0,Normal Sale,245500
402,1-STORY 1946 & NEWER,65.0,8767,,Level,College Creek,Normal,7,5,2005,0.0,24,1286,1310,1310,0,1310,0,0,2,0,3,1,Good,6,1,2005.0,Finished,2,0,0,0,0,0,0,Home was not completed when last assessed (associated with New Homes),164990
403,1-STORY 1945 & OLDER,60.0,10200,,Level,Sawyer,Normal,5,8,1940,0.0,0,672,672,672,0,672,0,0,1,0,2,1,Average,4,0,1940.0,Unfinished,1,168,0,0,0,0,0,Normal Sale,108000
404,2-STORY 1946 & NEWER,93.0,12090,,Level,Northridge,Normal,8,5,1998,650.0,0,1141,1141,1165,1098,2263,0,0,2,1,4,1,Good,10,1,1998.0,Finished,2,144,123,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",258000
405,2-STORY 1946 & NEWER,,10364,,Level,Gilbert,Normal,6,5,1995,0.0,0,806,806,806,766,1572,0,0,2,1,3,1,Average,7,1,1995.0,Finished,2,0,40,0,0,0,0,Normal Sale,168000
406,1-STORY 1946 & NEWER,,9991,,Level,Sawyer,Adjacent Feeder St,4,4,1976,0.0,1116,165,1281,1620,0,1620,1,0,2,0,3,1,Average,8,1,1993.0,Unfinished,2,120,78,0,0,0,0,Normal Sale,150000
408,2-STORY 1945 & OLDER,63.0,15576,,Level,Crawford,Normal,6,7,1915,0.0,0,840,840,840,840,1680,0,0,2,0,4,1,Average,8,0,1960.0,Unfinished,1,0,0,160,0,0,0,Normal Sale,177000
409,2-STORY 1946 & NEWER,109.0,14154,,Level,Northridge Heights,Normal,7,5,2006,350.0,0,1063,1063,1071,1101,2172,0,0,2,1,3,1,Good,9,1,2006.0,Rough Finished,3,192,62,0,0,0,0,Home was not completed when last assessed (associated with New Homes),280000
410,2-STORY 1946 & NEWER,85.0,10800,,Level,Somerset,Normal,8,5,2007,100.0,789,245,1034,1050,1028,2078,1,0,2,1,3,1,Excellent,8,1,2008.0,Finished,3,0,102,0,0,0,0,Home was not completed when last assessed (associated with New Homes),339750
411,1-STORY 1946 & NEWER,68.0,9571,,Level,Edwards,Normal,5,3,1958,0.0,0,1276,1276,1276,0,1276,0,0,1,0,3,1,Average,5,0,1958.0,Unfinished,1,0,0,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",60000
412,2 FAMILY CONVERSION,100.0,34650,,Banked,Gilbert,Normal,5,5,1955,0.0,1056,0,1056,1056,0,1056,1,0,1,0,3,1,Average,5,0,1955.0,Finished,2,264,0,0,0,0,0,Normal Sale,145000
413,1-STORY 1946 & NEWER,,4403,,Level,Somerset,Normal,7,5,2009,432.0,578,892,1470,1478,0,1478,1,0,2,1,2,1,Good,7,1,2009.0,Finished,2,0,144,0,0,0,0,Home was not completed when last assessed (associated with New Homes),222000
414,1-STORY 1945 & OLDER,56.0,8960,Grvl,Level,Old Town,Adjacent Arterial St,5,6,1927,0.0,0,1008,1008,1028,0,1028,0,0,1,0,2,1,Average,5,1,1927.0,Unfinished,2,0,0,130,0,0,0,Normal Sale,115000
415,2-STORY 1946 & NEWER,59.0,11228,,Level,Sawyer West,Normal,7,5,1993,0.0,50,499,1080,1080,1017,2097,0,1,2,1,3,1,Good,9,1,1993.0,Unfinished,3,196,187,0,0,0,0,Normal Sale,228000
416,1-STORY 1946 & NEWER,73.0,8899,,Level,Gilbert,Normal,7,5,2007,0.0,24,1316,1340,1340,0,1340,0,0,2,0,3,1,Good,6,0,2007.0,Finished,2,100,30,0,0,0,0,Home was not completed when last assessed (associated with New Homes),181134
417,2-STORY 1946 & NEWER,74.0,7844,,Level,Sawyer,Normal,6,7,1978,203.0,209,463,672,672,728,1400,0,0,1,1,3,1,Average,6,1,1978.0,Finished,2,0,0,0,0,0,0,Normal Sale,149500
418,2-STORY 1945 & OLDER,86.0,22420,,Level,Crawford,Adjacent Feeder St,6,6,1918,0.0,1128,242,1370,1370,1254,2624,1,0,2,1,4,1,Average,10,1,1918.0,Unfinished,3,0,0,0,0,0,0,Normal Sale,239000
420,1-STORY 1946 & NEWER,65.0,8450,,Level,North Ames,Normal,5,6,1968,0.0,775,281,1056,1056,0,1056,1,0,1,0,3,1,Average,6,1,1968.0,Unfinished,1,0,85,184,0,0,0,Normal Sale,142000
422,1-STORY 1946 & NEWER,,16635,,Level,Northwest Ames,Normal,6,7,1977,126.0,1246,356,1602,1602,0,1602,0,1,2,0,3,1,Good,8,1,1977.0,Finished,2,240,0,0,0,0,0,Normal Sale,215000
423,1-STORY 1946 & NEWER,100.0,21750,,Hillside,Mitchell,Adjacent Arterial St,5,5,1954,0.0,0,988,988,988,0,988,0,0,1,0,2,1,Average,4,0,1954.0,Rough Finished,2,0,0,0,0,0,0,Normal Sale,113000
424,2-STORY 1946 & NEWER,80.0,9200,,Level,Northridge,Normal,8,5,1998,473.0,986,484,1470,1470,1160,2630,1,0,2,1,4,1,Good,8,1,1998.0,Finished,3,0,66,0,0,0,0,Normal Sale,315000
425,1-STORY 1946 & NEWER,72.0,9000,,Level,North Ames,Normal,6,5,1956,74.0,616,580,1196,1196,0,1196,1,0,1,0,2,1,Average,6,1,1956.0,Rough Finished,1,0,44,0,0,0,0,Normal Sale,139000
426,2-STORY 1946 & NEWER,60.0,3378,Grvl,Hillside,Old Town,Normal,7,8,1946,0.0,0,651,651,707,682,1389,0,0,1,1,3,1,Average,6,2,1947.0,Unfinished,1,0,0,126,0,0,0,Normal Sale,135000
427,SPLIT OR MULTI-LEVEL,,12800,,Depression,Sawyer West,Normal,7,5,1989,145.0,1518,0,1518,1644,0,1644,1,1,2,0,2,1,Good,5,1,1989.0,Finished,2,80,0,0,0,396,0,Normal Sale,275000
428,1-STORY 1946 & NEWER,77.0,8593,,Level,North Ames,Normal,4,6,1957,0.0,288,619,907,907,0,907,0,0,1,0,3,1,Average,5,0,1964.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,109008
429,1-STORY 1946 & NEWER,64.0,6762,,Level,College Creek,Normal,7,5,2007,108.0,664,544,1208,1208,0,1208,1,0,2,0,2,1,Good,6,0,2007.0,Rough Finished,2,105,54,0,0,0,0,Home was not completed when last assessed (associated with New Homes),195400
430,1-STORY 1946 & NEWER,130.0,11457,,Level,Timberland,Normal,6,5,1988,0.0,1005,387,1392,1412,0,1412,1,0,2,0,3,1,Good,6,1,1988.0,Unfinished,2,0,0,169,0,0,0,Normal Sale,175000
431,2-STORY PUD,21.0,1680,,Level,Briardale,Normal,6,5,1971,232.0,387,96,483,483,504,987,0,0,1,1,2,1,Average,4,0,1971.0,Unfinished,1,0,0,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",85400
432,1-1/2 STORY ALL AGES,60.0,5586,,Banked,Old Town,Adjacent Feeder St,6,7,1920,0.0,0,901,901,1088,110,1198,0,0,1,0,4,1,Average,7,0,,No Garage,0,0,98,0,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",79900
433,2-STORY PUD,24.0,1920,,Level,Briardale,Normal,5,5,1971,376.0,471,294,765,765,600,1365,1,0,1,1,2,1,Average,6,0,1971.0,Unfinished,2,240,36,0,0,0,0,Normal Sale,122500
434,2-STORY 1946 & NEWER,100.0,10839,,Level,Gilbert,Normal,6,5,1997,0.0,0,926,926,926,678,1604,0,0,2,1,3,1,Average,7,1,1997.0,Finished,2,0,36,0,0,0,0,Normal Sale,181000
436,2-STORY 1946 & NEWER,43.0,10667,,Level,College Creek,Near Pos Feature,7,6,1996,0.0,385,70,799,827,834,1661,1,0,2,1,3,1,Good,6,1,1996.0,Rough Finished,2,158,61,0,0,0,0,Normal Sale,212000
437,1-1/2 STORY ALL AGES,40.0,4400,,Level,Old Town,Normal,6,8,1920,0.0,0,648,648,734,384,1118,0,0,1,0,2,1,Average,6,0,1990.0,Unfinished,2,0,0,0,0,0,0,Normal Sale,116000
439,1-STORY 1945 & OLDER,40.0,4280,,Level,Crawford,Normal,5,6,1913,0.0,365,75,440,694,0,694,0,0,1,0,2,1,Good,4,1,1990.0,Unfinished,1,0,0,34,0,0,0,Normal Sale,90350
440,1-1/2 STORY ALL AGES,67.0,12354,Grvl,Level,Edwards,Normal,6,8,1920,0.0,0,684,684,684,512,1196,0,0,1,0,3,1,Good,7,0,2005.0,Unfinished,2,0,46,0,0,0,0,Normal Sale,110000
442,DUPLEX,92.0,12108,,Level,Edwards,Normal,4,4,1955,270.0,133,1307,1440,1440,0,1440,0,0,2,0,4,2,Fair,8,0,,No Garage,0,0,0,0,0,0,0,Normal Sale,118000
443,1-1/2 STORY ALL AGES,52.0,6240,,Level,Brookside,Normal,5,7,1930,0.0,0,1078,1078,1128,445,1573,0,0,2,0,3,1,Average,8,1,1930.0,Unfinished,2,0,0,0,0,0,0,Normal Sale,162900
444,1-STORY PUD,53.0,3922,,Level,Bloomington Heights,Normal,7,5,2006,72.0,0,1258,1258,1258,0,1258,0,0,2,0,2,1,Good,6,1,2007.0,Finished,3,144,16,0,0,0,0,Home was not completed when last assessed (associated with New Homes),172500
445,2-STORY 1946 & NEWER,70.0,8750,,Level,College Creek,Normal,7,5,1994,0.0,642,273,915,933,975,1908,1,0,2,1,4,1,Good,8,1,1994.0,Unfinished,2,144,133,0,0,0,0,Normal Sale,210000
446,1-STORY 1946 & NEWER,73.0,9855,,Level,Edwards,Normal,6,5,1956,0.0,0,1436,1436,1689,0,1689,0,0,1,0,3,1,Average,7,1,1956.0,Unfinished,2,0,0,0,0,0,0,Normal Sale,127500
447,1-STORY 1946 & NEWER,137.0,16492,,Level,North Ames,Adjacent Pos Feature,6,6,1966,0.0,247,557,1517,1888,0,1888,0,0,2,1,2,1,Good,6,1,1966.0,Finished,2,0,0,0,0,0,0,Normal Sale,190000
448,2-STORY 1946 & NEWER,,11214,,Level,Gilbert,Normal,7,5,1998,0.0,0,930,930,956,930,1886,0,0,2,1,4,1,Good,10,1,1998.0,Finished,2,89,0,0,0,0,0,Normal Sale,199900
449,1-1/2 STORY ALL AGES,50.0,8600,,Banked,Iowa DOT and Rail Road,Normal,6,6,1937,0.0,0,780,780,780,596,1376,0,0,2,0,3,1,Average,7,1,1937.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,119500
450,1-1/2 STORY ALL AGES,50.0,6000,,Level,Old Town,Normal,3,7,1948,0.0,331,318,649,679,504,1183,0,0,1,1,2,1,Average,6,0,1981.0,Unfinished,1,0,176,0,0,0,0,Normal Sale,120000
451,1-STORY 1945 & OLDER,70.0,5684,,Level,Old Town,Normal,6,8,1930,0.0,0,813,813,813,0,813,0,0,1,0,2,1,Good,5,0,1932.0,Unfinished,1,0,113,0,0,0,0,Normal Sale,110000
452,1-STORY 1946 & NEWER,62.0,70761,,Depression,Clear Creek,Normal,7,5,1975,0.0,655,878,1533,1533,0,1533,1,0,2,0,2,1,Good,5,2,1975.0,Unfinished,2,200,54,0,0,0,0,Normal Sale,280000
453,2-STORY 1946 & NEWER,,9303,,Level,Timberland,Normal,6,5,1996,42.0,742,130,872,888,868,1756,1,0,2,1,3,1,Average,7,0,1996.0,Finished,2,144,122,0,0,0,0,Normal Sale,204000
454,2-STORY 1946 & NEWER,75.0,9000,,Level,Somerset,Normal,8,5,2008,0.0,0,768,768,786,804,1590,0,0,2,1,3,1,Good,6,0,2008.0,Rough Finished,2,0,30,0,0,0,0,Normal Sale,210000
455,DUPLEX,63.0,9297,,Level,Mitchell,Normal,5,5,1976,0.0,1606,122,1728,1728,0,1728,2,0,2,0,4,2,Average,8,0,1976.0,Unfinished,2,0,0,0,0,0,0,Sale between family members,188000
456,1-STORY 1946 & NEWER,80.0,9600,,Level,Northwest Ames,Normal,7,6,1973,320.0,916,326,1242,1242,0,1242,0,0,1,1,3,1,Average,6,1,1973.0,Unfinished,2,0,0,0,0,0,0,Normal Sale,175500
457,2-STORY 1945 & OLDER,34.0,4571,Grvl,Level,Old Town,Normal,5,5,1916,0.0,0,624,624,624,720,1344,0,0,1,0,4,1,Average,7,0,1916.0,Unfinished,3,0,0,96,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",98000
458,1-STORY 1946 & NEWER,,53227,,Depression,Clear Creek,Normal,4,6,1954,0.0,1116,248,1364,1663,0,1663,1,0,1,0,2,1,Good,6,2,1954.0,Finished,2,224,137,0,0,0,0,Normal Sale,256000
459,2-STORY 1945 & OLDER,,5100,Grvl,Level,Old Town,Normal,8,7,1925,0.0,0,588,588,833,833,1666,0,0,1,0,3,1,Good,7,1,1925.0,Unfinished,1,192,63,0,0,0,0,Normal Sale,161000
460,1-1/2 STORY ALL AGES,,7015,,Banked,Brookside,Normal,5,4,1950,161.0,185,524,709,979,224,1203,1,0,1,0,3,1,Good,5,1,1950.0,Unfinished,1,0,0,248,0,0,0,Normal Sale,110000
461,2-STORY 1946 & NEWER,75.0,8004,,Level,Somerset,Adjacent Railroad,8,5,2009,110.0,544,288,832,832,1103,1935,1,0,2,1,3,1,Average,8,0,2009.0,Finished,2,0,150,0,0,0,0,Home was not completed when last assessed (associated with New Homes),263435
462,2-STORY 1945 & OLDER,60.0,7200,,Level,South & West of Iowa State,Adjacent Feeder St,7,9,1936,0.0,350,0,560,575,560,1135,1,0,1,0,3,1,Good,6,0,1971.0,Rough Finished,2,256,0,0,0,0,0,Normal Sale,155000
463,1-STORY 1946 & NEWER,60.0,8281,,Level,Sawyer,Normal,5,5,1965,0.0,553,0,864,864,0,864,0,0,1,0,3,1,Average,5,1,1965.0,Unfinished,1,0,0,236,0,0,0,Normal Sale,62383
464,2-STORY 1945 & OLDER,74.0,11988,,Hillside,Crawford,Normal,6,7,1934,0.0,326,389,715,849,811,1660,0,0,1,1,3,1,Average,6,1,1939.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,188700
465,1-STORY 1946 & NEWER,60.0,8430,,Hillside,College Creek,Normal,5,5,1978,136.0,616,424,1040,1040,0,1040,0,0,2,0,3,1,Average,5,0,,No Garage,0,0,0,0,0,0,0,Normal Sale,124000
466,1-STORY PUD,,3072,,Level,Bloomington Heights,Normal,7,5,2004,18.0,0,1375,1375,1414,0,1414,0,0,2,0,2,1,Good,6,1,2004.0,Finished,2,144,20,0,0,0,0,Normal Sale,178740
467,1-STORY 1946 & NEWER,85.0,10628,,Level,North Ames,Normal,7,5,1970,0.0,778,499,1277,1277,0,1277,1,0,1,0,2,1,Average,5,1,1970.0,Unfinished,2,0,0,0,0,176,0,Normal Sale,167000
468,2-STORY 1945 & OLDER,79.0,9480,,Level,North Ames,Adjacent Arterial St,5,7,1942,224.0,386,342,728,888,756,1644,0,0,1,1,3,1,Good,7,2,1942.0,Unfinished,1,168,0,0,0,0,0,Normal Sale,146500
469,1-STORY 1946 & NEWER,98.0,11428,,Level,Northridge Heights,Normal,8,5,2006,248.0,0,1626,1626,1634,0,1634,0,0,2,0,3,1,Good,7,1,2006.0,Rough Finished,3,0,44,0,0,0,0,Normal Sale,250000
470,2-STORY 1946 & NEWER,76.0,9291,,Level,Sawyer West,Near Railroad,6,5,1993,120.0,426,406,832,832,878,1710,0,0,2,1,3,1,Good,7,0,1993.0,Rough Finished,2,144,70,0,0,0,0,Normal Sale,187000
471,1-STORY PUD,,6820,,Level,Stone Brook,Normal,8,5,1985,0.0,368,0,1488,1502,0,1502,1,0,1,1,1,1,Good,4,0,1985.0,Rough Finished,2,0,54,0,0,140,0,Normal Sale,212000
472,2-STORY 1946 & NEWER,92.0,11952,,Level,Northwest Ames,Adjacent Pos Feature,7,6,1977,0.0,0,808,808,1161,808,1969,0,0,2,1,3,1,Average,8,1,1977.0,Rough Finished,2,0,0,0,0,276,0,Normal Sale,190000
474,1-STORY 1946 & NEWER,110.0,14977,,Level,Northridge Heights,Normal,8,5,2006,304.0,1350,626,1976,1976,0,1976,1,0,2,0,2,1,Good,7,1,2006.0,Rough Finished,3,250,63,0,0,0,0,Home was not completed when last assessed (associated with New Homes),440000
475,1-STORY PUD,41.0,5330,,Level,Stone Brook,Normal,8,5,2000,0.0,1196,298,1494,1652,0,1652,1,0,2,0,2,1,Excellent,6,0,2000.0,Rough Finished,2,96,48,0,0,0,0,Normal Sale,251000
476,1-STORY 1946 & NEWER,80.0,8480,,Level,Sawyer,Normal,5,6,1963,0.0,630,340,970,970,0,970,1,0,1,0,2,1,Average,5,0,1996.0,Unfinished,2,0,24,0,0,192,0,Normal Sale,132500
477,1-STORY 1946 & NEWER,75.0,13125,,Level,College Creek,Normal,6,5,1997,215.0,994,484,1478,1493,0,1493,1,0,2,0,3,1,Good,7,1,1997.0,Finished,2,140,39,0,0,0,0,Normal Sale,208900
478,2-STORY 1946 & NEWER,105.0,13693,,Level,Northridge Heights,Normal,9,5,2006,772.0,0,2153,2153,2069,574,2643,0,0,2,1,3,1,Excellent,9,1,2006.0,Finished,3,414,84,0,0,0,0,Normal Sale,380000
479,1-STORY 1946 & NEWER,79.0,10637,,Level,College Creek,Normal,8,5,2007,336.0,1288,417,1705,1718,0,1718,1,0,2,0,3,1,Good,7,1,2007.0,Rough Finished,3,208,44,0,0,0,0,Normal Sale,297000
480,1-STORY 1945 & OLDER,50.0,5925,,Banked,Old Town,Normal,4,7,1937,435.0,168,739,907,1131,0,1131,0,0,1,0,2,1,Average,7,0,1995.0,Unfinished,2,0,72,0,0,0,0,"Allocation - two linked properties with separate deeds, typically condo with a garage unit",89471
481,1-STORY 1946 & NEWER,98.0,16033,,Level,Northridge Heights,Normal,9,5,2004,378.0,1261,572,1833,1850,0,1850,1,0,2,0,3,1,Good,8,1,2004.0,Finished,3,519,112,0,0,0,0,Normal Sale,326000
482,1-STORY 1946 & NEWER,72.0,11846,,Hillside,Northridge Heights,Normal,9,5,2003,562.0,1567,225,1792,1792,0,1792,1,0,2,0,2,1,Excellent,6,1,2003.0,Finished,3,206,49,0,0,0,0,Normal Sale,374000
483,2-STORY 1945 & OLDER,50.0,2500,Pave,Level,Old Town,Normal,7,8,1915,0.0,299,611,910,916,910,1826,1,0,1,1,4,1,Excellent,7,1,1915.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,155000
484,1-STORY PUD,32.0,4500,,Level,Mitchell,Normal,6,5,1998,116.0,897,319,1216,1216,0,1216,1,0,2,0,2,1,Average,5,0,1998.0,Unfinished,2,0,125,0,0,0,0,Normal Sale,164000
485,1-STORY 1946 & NEWER,,7758,,Level,Sawyer,Normal,5,7,1962,0.0,588,411,999,999,0,999,1,0,1,0,3,1,Good,6,0,1963.0,Unfinished,1,0,132,0,0,0,0,Normal Sale,132500
486,1-STORY 1946 & NEWER,80.0,9600,,Level,North Ames,Normal,5,7,1950,0.0,607,506,1113,1113,0,1113,0,0,1,0,3,1,Good,5,1,1950.0,Unfinished,1,0,80,120,0,0,0,Normal Sale,147000
487,1-STORY 1946 & NEWER,79.0,10289,,Level,North Ames,Normal,5,7,1965,168.0,836,237,1073,1073,0,1073,1,0,1,1,3,1,Average,6,0,1965.0,Rough Finished,2,0,0,0,0,0,0,Normal Sale,156000
488,1-STORY 1946 & NEWER,70.0,12243,,Level,Northwest Ames,Normal,5,6,1971,0.0,998,486,1484,1484,0,1484,0,0,2,0,3,1,Average,7,1,1971.0,Unfinished,2,224,0,0,0,180,0,Normal Sale,175000
489,2 FAMILY CONVERSION,60.0,10800,,Level,Old Town,Normal,5,4,1900,0.0,664,290,954,1766,648,2414,0,0,2,0,3,2,Average,10,1,1970.0,Unfinished,2,142,0,0,0,0,0,Normal Sale,160000
491,2-STORY PUD,,2665,,Level,Meadow Village,Normal,5,6,1976,0.0,0,264,264,616,688,1304,0,0,1,1,3,1,Average,4,1,1976.0,Finished,1,141,24,0,0,0,0,Normal Sale,115000
492,1-1/2 STORY ALL AGES,79.0,9490,,Level,North Ames,Adjacent Arterial St,6,7,1941,0.0,403,238,806,958,620,1578,1,0,1,0,3,1,Fair,5,2,1941.0,Unfinished,1,0,0,32,0,0,0,Normal Sale,133000
493,2-STORY 1946 & NEWER,105.0,15578,,Level,Gilbert,Normal,6,5,2006,0.0,0,728,728,728,728,1456,0,0,2,1,3,1,Average,8,0,2006.0,Rough Finished,2,0,0,0,0,0,0,Home was not completed when last assessed (associated with New Homes),172785
494,1-STORY 1946 & NEWER,70.0,7931,,Level,North Ames,Normal,5,6,1960,0.0,374,363,1269,1269,0,1269,0,0,1,1,3,1,Average,6,1,1964.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,155000
495,1-STORY 1945 & OLDER,50.0,5784,,Level,Old Town,Adjacent Arterial St,5,8,1938,0.0,0,190,190,886,0,886,0,0,1,0,2,1,Average,4,0,1938.0,Unfinished,1,144,20,80,0,0,0,Normal Sale,91300
496,1-STORY 1945 & OLDER,60.0,7879,,Level,Iowa DOT and Rail Road,Normal,4,5,1920,0.0,495,225,720,720,0,720,0,0,1,0,2,1,Average,4,0,,No Garage,0,0,523,115,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",34900
497,1-STORY 1946 & NEWER,,12692,,Level,Northridge,Normal,8,5,1992,0.0,1231,1969,3200,3228,0,3228,1,0,3,0,4,1,Good,10,1,1992.0,Rough Finished,2,264,75,291,0,0,0,Normal Sale,430000
498,1-1/2 STORY ALL AGES,60.0,9120,Pave,Level,Brookside,Normal,7,6,1925,0.0,329,697,1026,1133,687,1820,1,0,2,0,4,1,Average,8,0,1925.0,Unfinished,1,0,100,0,0,0,0,Normal Sale,184000
499,1-STORY 1946 & NEWER,65.0,7800,,Level,Sawyer,Normal,5,7,1967,89.0,450,414,864,899,0,899,0,0,1,0,3,1,Good,5,0,1967.0,Finished,1,64,0,0,0,0,0,Normal Sale,130000
500,1-STORY 1946 & NEWER,70.0,7535,,Level,North Ames,Normal,5,7,1958,0.0,111,522,912,912,0,912,0,1,1,0,2,1,Average,5,0,1958.0,Finished,1,12,285,0,0,0,0,Normal Sale,120000
501,2-STORY PUD,21.0,1890,,Level,Briardale,Normal,6,5,1973,285.0,356,316,672,672,546,1218,0,0,1,1,3,1,Average,7,0,1973.0,Unfinished,1,144,28,0,0,0,0,Normal Sale,113000
502,2-STORY 1946 & NEWER,75.0,9803,,Level,Somerset,Normal,7,5,2005,0.0,400,466,866,866,902,1768,0,0,2,1,3,1,Good,7,0,2005.0,Rough Finished,2,0,108,0,0,0,0,Normal Sale,226700
503,1-STORY 1946 & NEWER,70.0,9170,,Level,Edwards,Adjacent Feeder St,5,7,1965,0.0,698,420,1214,1214,0,1214,1,0,1,0,2,1,Average,6,0,1965.0,Unfinished,2,0,0,184,0,0,0,Normal Sale,140000
504,1-STORY 1946 & NEWER,100.0,15602,,Level,Crawford,Normal,7,8,1959,0.0,1247,254,1501,1801,0,1801,1,0,2,0,1,1,Average,6,2,1959.0,Finished,2,0,54,0,0,161,0,Normal Sale,289000
505,2-STORY PUD,24.0,2308,,Level,Northpark Villa,Normal,6,5,1974,0.0,257,103,855,855,467,1322,0,1,2,1,3,1,Average,6,1,1974.0,Unfinished,2,260,0,0,0,0,0,Normal Sale,147000
